                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97579,                0.94302,                 1.1574,                0.96287,                0.98402,                 0.9933,                0.78957,                0.83013,                0.79564,                 1.0325,             0.00048074,             0.00048074,             0.00048074
                     36,                0.97398,                0.95385,                 1.1691,                0.98022,                0.95861,                0.99067,                0.80657,                0.82032,                0.81829,                 1.0414,             0.00047367,             0.00047367,             0.00047367
                     37,                 1.0108,                0.98496,                 1.1675,                0.98821,                0.96261,                 0.9745,                0.77133,                0.88057,                 0.9009,                  1.055,              0.0004666,              0.0004666,              0.0004666
                     38,                0.99537,                0.90782,                 1.1254,                0.98711,                0.95794,                 0.9735,                0.76222,                0.90125,                0.92489,                 1.0615,             0.00045953,             0.00045953,             0.00045953
                     39,                0.99762,                0.93044,                 1.1599,                0.98849,                0.95512,                0.97692,                0.76413,                0.86943,                0.89226,                 1.0869,             0.00045246,             0.00045246,             0.00045246
                     40,                0.98075,                0.90714,                 1.1461,                 0.9843,                0.95519,                0.97881,                0.79997,                0.83429,                0.85281,                 1.0585,             0.00044539,             0.00044539,             0.00044539
                     41,                 1.0188,                 0.9209,                 1.1511,                0.98537,                0.95827,                 0.9847,                0.77996,                0.91654,                0.84948,                 1.0805,             0.00043832,             0.00043832,             0.00043832
                     42,                 0.9539,                0.86703,                 1.1299,                0.99247,                 0.9692,                0.99304,                0.78102,                0.87652,                 0.7938,                 1.0544,             0.00043126,             0.00043126,             0.00043126
                     43,                0.98627,                0.92271,                 1.1613,                0.98624,                 0.9757,                 0.9931,                0.78972,                0.88056,                0.79739,                 1.0552,             0.00042419,             0.00042419,             0.00042419
                     44,                0.97545,                0.90152,                 1.1301,                0.98514,                0.97174,                0.99174,                0.79462,                0.85182,                0.80066,                 1.0348,             0.00041712,             0.00041712,             0.00041712
                     45,                0.96196,                 0.9176,                 1.1374,                0.98651,                 0.9656,                  0.992,                0.78594,                0.87817,                0.78862,                 1.0447,             0.00041005,             0.00041005,             0.00041005
                     46,                0.96563,                0.88788,                 1.1392,                 0.9796,                0.97348,                0.99237,                0.78482,                0.92007,                0.79088,                 1.0701,             0.00040298,             0.00040298,             0.00040298
                     47,                0.94777,                0.86936,                 1.1167,                0.99354,                0.97973,                0.99405,                0.79567,                0.88341,                0.78069,                  1.037,             0.00039591,             0.00039591,             0.00039591
                     48,                0.96329,                0.86447,                 1.1164,                 0.9925,                0.98053,                0.99421,                 0.8014,                0.86441,                0.77155,                 1.0303,             0.00038884,             0.00038884,             0.00038884
                     49,                0.99587,                0.94805,                 1.1589,                0.99521,                0.97798,                 0.9935,                0.78154,                0.88602,                0.77659,                 1.0602,             0.00038178,             0.00038178,             0.00038178
                     50,                 0.9429,                 0.8672,                  1.141,                0.99296,                0.96648,                0.99106,                0.80066,                0.82807,                0.77657,                 1.0353,             0.00037471,             0.00037471,             0.00037471
                     51,                   0.98,                 0.9042,                 1.1304,                 0.9916,                0.96079,                0.98709,                0.79962,                0.82627,                0.79492,                 1.0331,             0.00036764,             0.00036764,             0.00036764
                     52,                0.92585,                0.85035,                 1.1153,                0.98975,                0.96161,                 0.9875,                0.80243,                0.83063,                 0.7957,                 1.0375,             0.00036057,             0.00036057,             0.00036057
                     53,                0.96075,                 0.8606,                 1.1316,                0.98752,                0.97531,                0.99341,                0.80024,                0.83396,                0.76667,                 1.0175,              0.0003535,              0.0003535,              0.0003535
                     54,                0.95097,                0.87815,                 1.1239,                0.99069,                0.97591,                0.99469,                0.81583,                0.83409,                0.76464,                 1.0136,             0.00034643,             0.00034643,             0.00034643
                     55,                 1.0116,                  0.906,                 1.1338,                0.99252,                0.97712,                0.99449,                0.82321,                 0.8256,                0.76164,                 1.0201,             0.00033936,             0.00033936,             0.00033936
                     56,                0.95873,                 0.8702,                 1.1147,                0.99357,                0.98082,                0.99458,                0.81022,                0.82165,                0.75028,                 1.0108,              0.0003323,              0.0003323,              0.0003323
                     57,                 0.9063,                0.80703,                  1.094,                0.99185,                0.98295,                0.99459,                0.78367,                0.85916,                0.76291,                 1.0168,             0.00032523,             0.00032523,             0.00032523
                     58,                0.92646,                0.84978,                 1.1047,                0.99194,                0.97696,                0.99428,                0.77775,                0.85884,                0.76726,                 1.0189,             0.00031816,             0.00031816,             0.00031816
                     59,                0.98118,                 0.8948,                 1.1291,                0.99258,                0.99039,                0.99479,                0.80332,                0.81907,                0.74006,                0.99989,             0.00031109,             0.00031109,             0.00031109
                     60,                0.89876,                0.82775,                 1.0907,                0.99307,                0.99151,                0.99489,                0.81887,                0.78937,                0.73585,                0.99242,             0.00030402,             0.00030402,             0.00030402
                     61,                0.91032,                0.86227,                 1.1099,                0.98775,                0.98565,                0.99454,                 0.8182,                0.79139,                 0.7511,                0.99346,             0.00029695,             0.00029695,             0.00029695
                     62,                0.87653,                0.77351,                 1.0794,                0.97975,                0.98463,                0.99422,                0.82664,                0.79638,                0.75159,                0.99735,             0.00028988,             0.00028988,             0.00028988
                     63,                 0.9213,                0.84483,                 1.1176,                0.98697,                0.98546,                0.99442,                  0.817,                0.79283,                0.74957,                 1.0037,             0.00028282,             0.00028282,             0.00028282
